year,typeOfDeath,country,region
2018,Murder,Afghanistan,South Asia
1998,Dangerous Assignment,Ethiopia,Sub-Saharan Africa
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
1996,Murder,Algeria,Middle East & North Africa
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2015,N/A,"Yemen, Rep.",Middle East & North Africa
2012,Murder,Syrian Arab Republic,Middle East & North Africa
2006,Murder,Iraq,Middle East & North Africa
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2006,N/A,Iraq,Middle East & North Africa
2004,Crossfire,Iraq,Middle East & North Africa
1993,Murder,Algeria,Middle East & North Africa
1995,Murder,Algeria,Middle East & North Africa
1994,Murder,Algeria,Middle East & North Africa
2016,Crossfire,Libya,Middle East & North Africa
1993,Murder,Algeria,Middle East & North Africa
2016,Murder,Somalia,Sub-Saharan Africa
2013,Murder,Somalia,Sub-Saharan Africa
2019,Dangerous Assignment,Somalia,Sub-Saharan Africa
2012,N/A,Somalia,Sub-Saharan Africa
2012,Murder,Somalia,Sub-Saharan Africa
2009,Crossfire,Somalia,Sub-Saharan Africa
2018,N/A,Somalia,Sub-Saharan Africa
2014,Murder,Somalia,Sub-Saharan Africa
2018,N/A,Somalia,Sub-Saharan Africa
2011,Murder,Somalia,Sub-Saharan Africa
2012,Murder,Somalia,Sub-Saharan Africa
2020,Murder,Somalia,Sub-Saharan Africa
2011,N/A,Pakistan,South Asia
1999,N/A,C么te d'Ivoire,Sub-Saharan Africa
2008,Crossfire,Pakistan,South Asia
2017,Dangerous Assignment,Bangladesh,South Asia
2019,Crossfire,Syrian Arab Republic,Middle East & North Africa
2012,Murder,Pakistan,South Asia
2018,Murder,Afghanistan,South Asia
2020,Crossfire,Syrian Arab Republic,Middle East & North Africa
2012,Murder,Pakistan,South Asia
2006,Dangerous Assignment,Afghanistan,South Asia
2013,Dangerous Assignment,Syrian Arab Republic,Middle East & North Africa
2007,N/A,Iraq,Middle East & North Africa
2014,N/A,"Yemen, Rep.",Middle East & North Africa
2018,Crossfire,Syrian Arab Republic,Middle East & North Africa
2008,Murder,Pakistan,South Asia
2016,Crossfire,Syrian Arab Republic,Middle East & North Africa
2008,Murder,Afghanistan,South Asia
1994,Crossfire,South Africa,Sub-Saharan Africa
2010,Dangerous Assignment,Pakistan,South Asia
2016,N/A,Syrian Arab Republic,Middle East & North Africa
2005,N/A,Iraq,Middle East & North Africa
2006,Murder,Iraq,Middle East & North Africa
1999,Murder,Sierra Leone,Sub-Saharan Africa
2014,Murder,Somalia,Sub-Saharan Africa
2007,Crossfire,Somalia,Sub-Saharan Africa
2009,Crossfire,Somalia,Sub-Saharan Africa
2018,N/A,"Yemen, Rep.",Middle East & North Africa
2018,Crossfire,"Yemen, Rep.",Middle East & North Africa
2018,Murder,Somalia,Sub-Saharan Africa
2016,Crossfire,Syrian Arab Republic,Middle East & North Africa
2015,Crossfire,"Yemen, Rep.",Middle East & North Africa
2013,N/A,Syrian Arab Republic,Middle East & North Africa
2003,Dangerous Assignment,Somalia,Sub-Saharan Africa
2010,N/A,Somalia,Sub-Saharan Africa
2017,Murder,Somalia,Sub-Saharan Africa
2009,Murder,Russian Federation,Europe & Central Asia
2007,Murder,Iraq,Middle East & North Africa
2008,N/A,Guatemala,Latin America & Caribbean
2007,Crossfire,Somalia,Sub-Saharan Africa
2012,Murder,Somalia,Sub-Saharan Africa
2018,Crossfire,India,South Asia
2015,Murder,South Sudan,Sub-Saharan Africa
2000,N/A,Russian Federation,Europe & Central Asia
2015,Dangerous Assignment,United States,North America
2010,N/A,Argentina,Latin America & Caribbean
2006,Murder,Iraq,Middle East & North Africa
2015,Murder,Iraq,Middle East & North Africa
2001,Dangerous Assignment,Algeria,Middle East & North Africa
2000,N/A,India,South Asia
1995,Crossfire,Azerbaijan,Europe & Central Asia
2004,Dangerous Assignment,Russian Federation,Europe & Central Asia
2005,Murder,Iraq,Middle East & North Africa
2007,Murder,Iraq,Middle East & North Africa
2006,Murder,Iraq,Middle East & North Africa
1992,Murder,Peru,Latin America & Caribbean
2006,N/A,Mexico,Latin America & Caribbean
1994,Murder,"Congo, Dem. Rep.",Sub-Saharan Africa
2012,Dangerous Assignment,Mexico,Latin America & Caribbean
1999,Dangerous Assignment,Timor-Leste,East Asia & Pacific
2006,N/A,Iraq,Middle East & North Africa
2016,Crossfire,Syrian Arab Republic,Middle East & North Africa
2003,Crossfire,Iraq,Middle East & North Africa
2011,Dangerous Assignment,"Egypt, Arab Rep.",Middle East & North Africa
2011,Crossfire,Afghanistan,South Asia
2006,Murder,Iraq,Middle East & North Africa
2018,N/A,Afghanistan,South Asia
1995,Murder,Algeria,Middle East & North Africa
2013,Dangerous Assignment,"Egypt, Arab Rep.",Middle East & North Africa
2020,Dangerous Assignment,Iraq,Middle East & North Africa
2015,Crossfire,Syrian Arab Republic,Middle East & North Africa
2018,Dangerous Assignment,Israel,Middle East & North Africa
2005,Murder,Iraq,Middle East & North Africa
2012,Murder,Somalia,Sub-Saharan Africa
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
2005,Murder,Iraq,Middle East & North Africa
2016,Crossfire,"Yemen, Rep.",Middle East & North Africa
2013,Dangerous Assignment,"Egypt, Arab Rep.",Middle East & North Africa
2018,Crossfire,Syrian Arab Republic,Middle East & North Africa
2012,Murder,Somalia,Sub-Saharan Africa
2007,Murder,Iraq,Middle East & North Africa
1993,Crossfire,Lebanon,Middle East & North Africa
2014,Dangerous Assignment,Syrian Arab Republic,Middle East & North Africa
2007,Crossfire,Somalia,Sub-Saharan Africa
2005,Murder,Iraq,Middle East & North Africa
2019,Murder,Ghana,Sub-Saharan Africa
2012,Dangerous Assignment,Bahrain,Middle East & North Africa
1994,Murder,Algeria,Middle East & North Africa
2005,Murder,Iraq,Middle East & North Africa
2000,Dangerous Assignment,Somalia,Sub-Saharan Africa
2015,Murder,Syrian Arab Republic,Middle East & North Africa
2019,Dangerous Assignment,Iraq,Middle East & North Africa
2013,Murder,Bangladesh,South Asia
2014,Murder,Maldives,South Asia
2006,Murder,Iraq,Middle East & North Africa
2008,Murder,Iraq,Middle East & North Africa
2003,Murder,Iraq,Middle East & North Africa
2005,Crossfire,Iraq,Middle East & North Africa
2016,Crossfire,Iraq,Middle East & North Africa
1999,Murder,Turkey,Europe & Central Asia
2001,N/A,Bangladesh,South Asia
2004,Murder,Sri Lanka,South Asia
2007,Murder,Afghanistan,South Asia
2016,N/A,India,South Asia
2013,Murder,Russian Federation,Europe & Central Asia
2015,N/A,India,South Asia
2012,Murder,"Egypt, Arab Rep.",Middle East & North Africa
2014,Murder,Syrian Arab Republic,Middle East & North Africa
2009,Crossfire,Iraq,Middle East & North Africa
2008,Crossfire,Iraq,Middle East & North Africa
2013,Murder,Iraq,Middle East & North Africa
2006,N/A,Iraq,Middle East & North Africa
2017,Crossfire,Syrian Arab Republic,Middle East & North Africa
2019,N/A,Syrian Arab Republic,Middle East & North Africa
2016,N/A,Iraq,Middle East & North Africa
2007,Murder,Iraq,Middle East & North Africa
1995,N/A,Guatemala,Latin America & Caribbean
1996,N/A,Philippines,East Asia & Pacific
2010,Murder,Angola,Sub-Saharan Africa
2013,N/A,Mexico,Latin America & Caribbean
2004,Murder,Peru,Latin America & Caribbean
1999,N/A,Colombia,Latin America & Caribbean
1992,N/A,Chad,Sub-Saharan Africa
2012,N/A,Philippines,East Asia & Pacific
2010,Murder,Belarus,Europe & Central Asia
1997,N/A,Colombia,Latin America & Caribbean
1992,Murder,Peru,Latin America & Caribbean
2009,Murder,Philippines,East Asia & Pacific
2008,Murder,Mexico,Latin America & Caribbean
2018,Dangerous Assignment,Central African Republic,Sub-Saharan Africa
1993,Dangerous Assignment,Russian Federation,Europe & Central Asia
1993,Dangerous Assignment,Russian Federation,Europe & Central Asia
2000,Crossfire,Russian Federation,Europe & Central Asia
2003,Murder,Russian Federation,Europe & Central Asia
1994,Crossfire,Bosnia and Herzegovina,Europe & Central Asia
2016,N/A,Philippines,East Asia & Pacific
2020,N/A,Nigeria,Sub-Saharan Africa
1994,N/A,Belarus,Europe & Central Asia
2008,Crossfire,Georgia,Europe & Central Asia
1993,Crossfire,Georgia,Europe & Central Asia
1994,Murder,Burundi,Sub-Saharan Africa
1994,N/A,Rwanda,Sub-Saharan Africa
2000,Murder,Colombia,Latin America & Caribbean
2011,Murder,El Salvador,Latin America & Caribbean
2010,Murder,Indonesia,East Asia & Pacific
2012,Murder,Syrian Arab Republic,Middle East & North Africa
1995,Murder,Algeria,Middle East & North Africa
2004,Crossfire,Iraq,Middle East & North Africa
2012,Murder,Somalia,Sub-Saharan Africa
2004,Crossfire,Iraq,Middle East & North Africa
1995,Murder,Algeria,Middle East & North Africa
2011,Crossfire,Libya,Middle East & North Africa
2005,Crossfire,Iraq,Middle East & North Africa
2006,Murder,Iraq,Middle East & North Africa
2012,N/A,Syrian Arab Republic,Middle East & North Africa
2007,N/A,Iraq,Middle East & North Africa
2013,N/A,Syrian Arab Republic,Middle East & North Africa
2016,Crossfire,Iraq,Middle East & North Africa
2007,N/A,Somalia,Sub-Saharan Africa
2014,Crossfire,Syrian Arab Republic,Middle East & North Africa
2017,Dangerous Assignment,Somalia,Sub-Saharan Africa
2016,Crossfire,Iraq,Middle East & North Africa
2018,Murder,Afghanistan,South Asia
2012,Crossfire,Lebanon,Middle East & North Africa
2007,N/A,Iraq,Middle East & North Africa
2007,Murder,Somalia,Sub-Saharan Africa
2007,Murder,Kyrgyz Republic,Europe & Central Asia
2015,Dangerous Assignment,United States,North America
2007,N/A,Haiti,Latin America & Caribbean
2005,Murder,Pakistan,South Asia
2004,N/A,Philippines,East Asia & Pacific
1996,Murder,Algeria,Middle East & North Africa
2016,Crossfire,"Yemen, Rep.",Middle East & North Africa
1994,Murder,Rwanda,Sub-Saharan Africa
1999,Murder,Sierra Leone,Sub-Saharan Africa
1997,Murder,India,South Asia
2016,N/A,Guatemala,Latin America & Caribbean
2001,N/A,Colombia,Latin America & Caribbean
2011,Dangerous Assignment,Iraq,Middle East & North Africa
2007,Murder,Mexico,Latin America & Caribbean
2002,N/A,Nepal,South Asia
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2007,Murder,Iraq,Middle East & North Africa
1995,Murder,Algeria,Middle East & North Africa
2005,Murder,Pakistan,South Asia
2020,Crossfire,Syrian Arab Republic,Middle East & North Africa
2006,Murder,Iraq,Middle East & North Africa
2019,Crossfire,Syrian Arab Republic,Middle East & North Africa
2015,Crossfire,Syrian Arab Republic,Middle East & North Africa
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
1998,Murder,Colombia,Latin America & Caribbean
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2016,N/A,Mexico,Latin America & Caribbean
2009,Murder,Indonesia,East Asia & Pacific
2015,Murder,Bangladesh,South Asia
2019,Crossfire,Syrian Arab Republic,Middle East & North Africa
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
1994,Murder,Rwanda,Sub-Saharan Africa
2009,Murder,Russian Federation,Europe & Central Asia
2014,Dangerous Assignment,Ukraine,Europe & Central Asia
1998,Murder,Russian Federation,Europe & Central Asia
2009,Dangerous Assignment,Madagascar,Sub-Saharan Africa
1994,Murder,Rwanda,Sub-Saharan Africa
2014,Crossfire,Ukraine,Europe & Central Asia
1994,N/A,Russian Federation,Europe & Central Asia
1993,Crossfire,Georgia,Europe & Central Asia
2014,Crossfire,Ukraine,Europe & Central Asia
2006,N/A,Philippines,East Asia & Pacific
2009,Murder,Philippines,East Asia & Pacific
1995,N/A,Russian Federation,Europe & Central Asia
2012,N/A,Honduras,Latin America & Caribbean
2018,Dangerous Assignment,Nicaragua,Latin America & Caribbean
2013,N/A,Honduras,Latin America & Caribbean
2009,Murder,India,South Asia
2014,Dangerous Assignment,Afghanistan,South Asia
2006,Murder,Russian Federation,Europe & Central Asia
1993,Murder,Somalia,Sub-Saharan Africa
2004,Dangerous Assignment,C么te d'Ivoire,Sub-Saharan Africa
2011,Crossfire,Libya,Middle East & North Africa
1996,Murder,Angola,Sub-Saharan Africa
2004,Murder,Peru,Latin America & Caribbean
2000,N/A,Georgia,Europe & Central Asia
1999,Dangerous Assignment,Sri Lanka,South Asia
2018,N/A,"Yemen, Rep.",Middle East & North Africa
2003,Murder,Philippines,East Asia & Pacific
1992,N/A,Tajikistan,Europe & Central Asia
2010,Murder,Indonesia,East Asia & Pacific
2008,N/A,Philippines,East Asia & Pacific
2007,Crossfire,Iraq,Middle East & North Africa
2012,N/A,Colombia,Latin America & Caribbean
1995,Murder,Brazil,Latin America & Caribbean
2017,Murder,Iraq,Middle East & North Africa
2006,Murder,Philippines,East Asia & Pacific
2015,Murder,Mexico,Latin America & Caribbean
2004,Murder,Philippines,East Asia & Pacific
2005,N/A,Philippines,East Asia & Pacific
2001,N/A,Colombia,Latin America & Caribbean
1994,Crossfire,Angola,Sub-Saharan Africa
2009,Murder,Philippines,East Asia & Pacific
2006,N/A,India,South Asia
2010,N/A,Nepal,South Asia
2004,Crossfire,Iraq,Middle East & North Africa
2001,N/A,Pakistan,South Asia
2011,Dangerous Assignment,Pakistan,South Asia
2008,Dangerous Assignment,India,South Asia
2004,Dangerous Assignment,India,South Asia
2004,N/A,Kazakhstan,Europe & Central Asia
2013,Dangerous Assignment,Pakistan,South Asia
2010,Crossfire,Lebanon,Middle East & North Africa
2006,Murder,Iraq,Middle East & North Africa
2014,Crossfire,Syrian Arab Republic,Middle East & North Africa
2008,Murder,Thailand,East Asia & Pacific
2006,Murder,Colombia,Latin America & Caribbean
1999,N/A,Sri Lanka,South Asia
2006,Murder,Iraq,Middle East & North Africa
2014,Murder,Myanmar,East Asia & Pacific
2012,N/A,Pakistan,South Asia
2016,N/A,Mexico,Latin America & Caribbean
2011,N/A,Brazil,Latin America & Caribbean
2015,Murder,Bangladesh,South Asia
2016,Crossfire,"Yemen, Rep.",Middle East & North Africa
2018,Dangerous Assignment,Somalia,Sub-Saharan Africa
2012,Dangerous Assignment,Syrian Arab Republic,Middle East & North Africa
2004,Crossfire,Iraq,Middle East & North Africa
1993,Murder,Turkey,Europe & Central Asia
2013,Murder,Pakistan,South Asia
2006,N/A,Iraq,Middle East & North Africa
2010,Dangerous Assignment,Pakistan,South Asia
2000,N/A,Israel,Middle East & North Africa
2020,N/A,Pakistan,South Asia
2001,Murder,Afghanistan,South Asia
1995,Murder,Algeria,Middle East & North Africa
2009,N/A,Philippines,East Asia & Pacific
1996,N/A,Nigeria,Sub-Saharan Africa
2017,N/A,Pakistan,South Asia
1995,Murder,Algeria,Middle East & North Africa
1992,N/A,India,South Asia
2004,Murder,Sri Lanka,South Asia
2006,N/A,"Congo, Dem. Rep.",Sub-Saharan Africa
2012,N/A,Syrian Arab Republic,Middle East & North Africa
2005,Murder,Serbia,Europe & Central Asia
2010,Crossfire,Somalia,Sub-Saharan Africa
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
2018,Crossfire,Syrian Arab Republic,Middle East & North Africa
2013,Murder,Iraq,Middle East & North Africa
2007,Murder,Somalia,Sub-Saharan Africa
2011,Dangerous Assignment,Syrian Arab Republic,Middle East & North Africa
2009,Crossfire,Israel,Middle East & North Africa
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2015,Crossfire,Syrian Arab Republic,Middle East & North Africa
2009,Murder,Nigeria,Sub-Saharan Africa
2001,N/A,Yugoslavia,Europe & Central Asia
2008,N/A,Philippines,East Asia & Pacific
1997,Murder,Mexico,Latin America & Caribbean
2019,N/A,Philippines,East Asia & Pacific
1998,Murder,Colombia,Latin America & Caribbean
2015,Murder,France,Europe & Central Asia
2015,Murder,France,Europe & Central Asia
2013,N/A,Kenya,Sub-Saharan Africa
1993,Murder,India,South Asia
2009,Murder,Philippines,East Asia & Pacific
1993,Murder,Colombia,Latin America & Caribbean
2014,Dangerous Assignment,Syrian Arab Republic,Middle East & North Africa
2015,Crossfire,"Yemen, Rep.",Middle East & North Africa
2007,Murder,Nepal,South Asia
2009,Murder,Mexico,Latin America & Caribbean
2010,N/A,Bulgaria,Europe & Central Asia
1999,N/A,Nigeria,Sub-Saharan Africa
2003,Murder,Philippines,East Asia & Pacific
2013,N/A,Philippines,East Asia & Pacific
1997,Murder,Ukraine,Europe & Central Asia
2015,Murder,South Sudan,Sub-Saharan Africa
2006,Dangerous Assignment,Mexico,Latin America & Caribbean
1995,Murder,Algeria,Middle East & North Africa
1994,Crossfire,Bosnia and Herzegovina,Europe & Central Asia
1995,Murder,Canada,North America
2001,Murder,Haiti,Latin America & Caribbean
2009,N/A,"Congo, Rep.",Sub-Saharan Africa
2009,N/A,"Congo, Dem. Rep.",Sub-Saharan Africa
2020,N/A,Guatemala,Latin America & Caribbean
2019,N/A,Honduras,Latin America & Caribbean
2004,Crossfire,Iraq,Middle East & North Africa
2012,Murder,Ecuador,Latin America & Caribbean
1993,N/A,Rwanda,Sub-Saharan Africa
1993,Murder,South Africa,Sub-Saharan Africa
2014,Dangerous Assignment,Central African Republic,Sub-Saharan Africa
2001,Murder,Philippines,East Asia & Pacific
2017,N/A,Mexico,Latin America & Caribbean
2010,Dangerous Assignment,Mexico,Latin America & Caribbean
2013,N/A,Guatemala,Latin America & Caribbean
2000,Murder,Mozambique,Sub-Saharan Africa
2018,Murder,Mexico,Latin America & Caribbean
1993,Murder,Honduras,Latin America & Caribbean
2004,Murder,Nicaragua,Latin America & Caribbean
2000,N/A,Colombia,Latin America & Caribbean
1993,Murder,Colombia,Latin America & Caribbean
1998,N/A,Pakistan,South Asia
2009,N/A,Mexico,Latin America & Caribbean
2017,N/A,Honduras,Latin America & Caribbean
2008,Murder,Bolivia,Latin America & Caribbean
2007,Murder,Honduras,Latin America & Caribbean
2017,N/A,Honduras,Latin America & Caribbean
2007,N/A,Philippines,East Asia & Pacific
2008,Dangerous Assignment,Afghanistan,South Asia
2017,Murder,Mexico,Latin America & Caribbean
1992,Murder,Turkey,Europe & Central Asia
1992,Murder,Turkey,Europe & Central Asia
2012,N/A,India,South Asia
2008,Dangerous Assignment,Thailand,East Asia & Pacific
1994,Murder,Cambodia,East Asia & Pacific
2018,Murder,India,South Asia
2012,N/A,India,South Asia
1994,Murder,Rwanda,Sub-Saharan Africa
2011,N/A,Uganda,Sub-Saharan Africa
1994,Murder,Rwanda,Sub-Saharan Africa
2007,Murder,United States,North America
1997,Dangerous Assignment,Cambodia,East Asia & Pacific
2009,N/A,"Gambia, The",Sub-Saharan Africa
1996,N/A,Nigeria,Sub-Saharan Africa
1992,Crossfire,Azerbaijan,Europe & Central Asia
2008,Murder,Pakistan,South Asia
2003,Murder,Cambodia,East Asia & Pacific
2011,Crossfire,Libya,Middle East & North Africa
2009,Murder,El Salvador,Latin America & Caribbean
2003,Crossfire,Iraq,Middle East & North Africa
2006,Murder,Afghanistan,South Asia
2015,N/A,Burundi,Sub-Saharan Africa
2017,Crossfire,South Sudan,Sub-Saharan Africa
2012,Murder,Philippines,East Asia & Pacific
2017,Murder,Philippines,East Asia & Pacific
2001,N/A,Thailand,East Asia & Pacific
2009,Murder,Turkey,Europe & Central Asia
2013,Murder,Mali,Sub-Saharan Africa
2010,Murder,Colombia,Latin America & Caribbean
1999,Dangerous Assignment,Sierra Leone,Sub-Saharan Africa
2015,N/A,Philippines,East Asia & Pacific
2009,Murder,Philippines,East Asia & Pacific
1994,Crossfire,Russian Federation,Europe & Central Asia
2005,Murder,Libya,Middle East & North Africa
2015,Murder,South Sudan,Sub-Saharan Africa
1993,Murder,Somalia,Sub-Saharan Africa
2013,N/A,Mexico,Latin America & Caribbean
2002,Murder,Pakistan,South Asia
2015,Murder,Guatemala,Latin America & Caribbean
1992,Murder,Philippines,East Asia & Pacific
1997,Murder,Philippines,East Asia & Pacific
2017,Murder,Malta,Middle East & North Africa
1994,Crossfire,Bosnia and Herzegovina,Europe & Central Asia
2011,Murder,Panama,Latin America & Caribbean
2015,Murder,Somalia,Sub-Saharan Africa
2012,Dangerous Assignment,Tanzania,Sub-Saharan Africa
1993,Crossfire,Georgia,Europe & Central Asia
2016,Crossfire,Afghanistan,South Asia
1992,Crossfire,Bosnia and Herzegovina,Europe & Central Asia
2010,Murder,Honduras,Latin America & Caribbean
2011,N/A,Bolivia,Latin America & Caribbean
1994,N/A,Tajikistan,Europe & Central Asia
2012,Murder,Brazil,Latin America & Caribbean
1992,N/A,Chad,Sub-Saharan Africa
2004,Murder,Nepal,South Asia
2008,Murder,Philippines,East Asia & Pacific
2018,Murder,Philippines,East Asia & Pacific
2010,Murder,Philippines,East Asia & Pacific
2010,N/A,Nepal,South Asia
2004,Murder,"Gambia, The",Sub-Saharan Africa
2003,Murder,Nepal,South Asia
2016,N/A,India,South Asia
2005,Murder,Sri Lanka,South Asia
2004,Crossfire,Iraq,Middle East & North Africa
2010,N/A,Uganda,Sub-Saharan Africa
2008,N/A,"Congo, Dem. Rep.",Sub-Saharan Africa
1998,N/A,Colombia,Latin America & Caribbean
2009,N/A,Colombia,Latin America & Caribbean
2004,N/A,India,South Asia
2017,Crossfire,Syrian Arab Republic,Middle East & North Africa
2004,Murder,Iraq,Middle East & North Africa
2019,N/A,Philippines,East Asia & Pacific
1993,Murder,India,South Asia
1993,N/A,Philippines,East Asia & Pacific
2004,N/A,Bangladesh,South Asia
2015,N/A,Syrian Arab Republic,Middle East & North Africa
2015,Murder,Brazil,Latin America & Caribbean
1993,Murder,Algeria,Middle East & North Africa
1996,Murder,Algeria,Middle East & North Africa
1995,Murder,Algeria,Middle East & North Africa
1996,Murder,Algeria,Middle East & North Africa
2007,Crossfire,Iraq,Middle East & North Africa
1994,Murder,Russian Federation,Europe & Central Asia
1993,Murder,Russian Federation,Europe & Central Asia
2017,Murder,Russian Federation,Europe & Central Asia
2003,N/A,Russian Federation,Europe & Central Asia
2003,Murder,Belarus,Europe & Central Asia
2005,Murder,Mexico,Latin America & Caribbean
2002,Murder,Brazil,Latin America & Caribbean
1993,Crossfire,Bosnia and Herzegovina,Europe & Central Asia
1993,Murder,United States,North America
2005,Dangerous Assignment,Somalia,Sub-Saharan Africa
2004,Crossfire,Iraq,Middle East & North Africa
2004,Murder,Montenegro,Europe & Central Asia
2012,Dangerous Assignment,India,South Asia
2008,N/A,Iraq,Middle East & North Africa
1999,N/A,Tajikistan,Europe & Central Asia
1997,Murder,"Iran, Islamic Rep.",Middle East & North Africa
2012,N/A,Philippines,East Asia & Pacific
2019,N/A,Mexico,Latin America & Caribbean
