year,typeOfDeath,country,region
2017,Crossfire,Syrian Arab Republic,Middle East & North Africa
2015,Dangerous Assignment,"Yemen, Rep.",Middle East & North Africa
2016,Crossfire,Libya,Middle East & North Africa
2016,Murder,Syrian Arab Republic,Middle East & North Africa
2007,Crossfire,Iraq,Middle East & North Africa
2006,Murder,Iraq,Middle East & North Africa
2014,Crossfire,Israel,Middle East & North Africa
2014,Crossfire,Iraq,Middle East & North Africa
2007,Murder,Iraq,Middle East & North Africa
2007,Murder,Iraq,Middle East & North Africa
1994,N/A,Tajikistan,Europe & Central Asia
2008,Murder,Cambodia,East Asia & Pacific
1992,Murder,Tajikistan,Europe & Central Asia
1994,Murder,Tajikistan,Europe & Central Asia
2017,Dangerous Assignment,Denmark,Europe & Central Asia
2018,Dangerous Assignment,Central African Republic,Sub-Saharan Africa
2016,N/A,India,South Asia
1993,N/A,Tajikistan,Europe & Central Asia
1992,Murder,Bosnia and Herzegovina,Europe & Central Asia
1992,N/A,Chad,Sub-Saharan Africa
2005,Murder,Philippines,East Asia & Pacific
2003,N/A,C么te d'Ivoire,Sub-Saharan Africa
2004,Crossfire,Iraq,Middle East & North Africa
2002,N/A,Nepal,South Asia
1992,Murder,Bosnia and Herzegovina,Europe & Central Asia
2000,Crossfire,Sierra Leone,Sub-Saharan Africa
1996,Murder,Cyprus,Europe & Central Asia
1994,N/A,"Egypt, Arab Rep.",Middle East & North Africa
1992,N/A,Philippines,East Asia & Pacific
1994,Murder,Algeria,Middle East & North Africa
2006,Murder,Iraq,Middle East & North Africa
2010,N/A,Pakistan,South Asia
2007,N/A,China,East Asia & Pacific
2004,Dangerous Assignment,Sri Lanka,South Asia
1998,Murder,Russian Federation,Europe & Central Asia
1999,N/A,Guatemala,Latin America & Caribbean
2016,Murder,Philippines,East Asia & Pacific
2009,Murder,Sri Lanka,South Asia
2018,N/A,Guatemala,Latin America & Caribbean
1993,N/A,"Congo, Rep.",Sub-Saharan Africa
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
2006,Crossfire,Lebanon,Middle East & North Africa
2011,N/A,Vietnam,East Asia & Pacific
2009,Murder,Philippines,East Asia & Pacific
2012,Dangerous Assignment,Indonesia,East Asia & Pacific
2008,N/A,Philippines,East Asia & Pacific
2018,Murder,Mexico,Latin America & Caribbean
2017,N/A,Philippines,East Asia & Pacific
2019,Murder,Honduras,Latin America & Caribbean
2017,N/A,Dominican Republic,Latin America & Caribbean
2018,Murder,Mexico,Latin America & Caribbean
2014,Crossfire,Iraq,Middle East & North Africa
2011,N/A,China,East Asia & Pacific
2013,Murder,Somalia,Sub-Saharan Africa
2012,Murder,Somalia,Sub-Saharan Africa
2019,N/A,Colombia,Latin America & Caribbean
2009,Murder,Philippines,East Asia & Pacific
2004,N/A,Iraq,Middle East & North Africa
1994,Murder,Iraq,Middle East & North Africa
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
1997,N/A,El Salvador,Latin America & Caribbean
2017,Crossfire,Iraq,Middle East & North Africa
2020,Murder,Paraguay,Latin America & Caribbean
2011,Dangerous Assignment,Tunisia,Middle East & North Africa
2016,N/A,Brazil,Latin America & Caribbean
2011,Murder,Brazil,Latin America & Caribbean
1999,N/A,Colombia,Latin America & Caribbean
2015,Murder,Colombia,Latin America & Caribbean
2010,N/A,Honduras,Latin America & Caribbean
2014,N/A,Colombia,Latin America & Caribbean
2010,Murder,Mexico,Latin America & Caribbean
2013,N/A,Peru,Latin America & Caribbean
2013,N/A,Guatemala,Latin America & Caribbean
2003,Murder,Colombia,Latin America & Caribbean
2011,N/A,Colombia,Latin America & Caribbean
2011,Murder,Mexico,Latin America & Caribbean
2011,N/A,Honduras,Latin America & Caribbean
2017,Murder,Brazil,Latin America & Caribbean
2017,N/A,Dominican Republic,Latin America & Caribbean
1998,Murder,Mexico,Latin America & Caribbean
1997,N/A,Guatemala,Latin America & Caribbean
2003,Murder,Brazil,Latin America & Caribbean
2007,Murder,Brazil,Latin America & Caribbean
2014,Murder,"Yemen, Rep.",Middle East & North Africa
2006,Murder,Iraq,Middle East & North Africa
2011,N/A,Honduras,Latin America & Caribbean
2019,Dangerous Assignment,United Kingdom,Europe & Central Asia
2015,Murder,Poland,Europe & Central Asia
1992,Murder,India,South Asia
1999,Murder,Sierra Leone,Sub-Saharan Africa
1994,Murder,Algeria,Middle East & North Africa
2013,Murder,Brazil,Latin America & Caribbean
2008,Murder,Russian Federation,Europe & Central Asia
2005,Murder,Russian Federation,Europe & Central Asia
2005,Crossfire,Iraq,Middle East & North Africa
2007,Murder,Somalia,Sub-Saharan Africa
2016,Crossfire,Somalia,Sub-Saharan Africa
2012,Murder,Somalia,Sub-Saharan Africa
2018,Murder,Afghanistan,South Asia
2005,Dangerous Assignment,Nepal,South Asia
2012,Crossfire,Israel,Middle East & North Africa
2004,Crossfire,Iraq,Middle East & North Africa
2007,N/A,Iraq,Middle East & North Africa
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
1998,Murder,Afghanistan,South Asia
2006,Crossfire,Iraq,Middle East & North Africa
2014,Crossfire,Syrian Arab Republic,Middle East & North Africa
2007,Murder,Iraq,Middle East & North Africa
2016,Crossfire,Syrian Arab Republic,Middle East & North Africa
1998,N/A,"Iran, Islamic Rep.",Middle East & North Africa
2018,N/A,Russian Federation,Europe & Central Asia
2006,Murder,Russian Federation,Europe & Central Asia
2010,Crossfire,Pakistan,South Asia
2013,N/A,Pakistan,South Asia
1995,Murder,Algeria,Middle East & North Africa
2004,Murder,Bangladesh,South Asia
1998,Murder,Brazil,Latin America & Caribbean
1992,Murder,United States,North America
2010,N/A,Honduras,Latin America & Caribbean
1993,Murder,Colombia,Latin America & Caribbean
2016,N/A,Mexico,Latin America & Caribbean
2001,Crossfire,Afghanistan,South Asia
2016,N/A,"Congo, Dem. Rep.",Sub-Saharan Africa
1994,Murder,Rwanda,Sub-Saharan Africa
1995,Murder,Somalia,Sub-Saharan Africa
2012,N/A,Mexico,Latin America & Caribbean
2002,N/A,Colombia,Latin America & Caribbean
2009,N/A,Guatemala,Latin America & Caribbean
2010,N/A,Mexico,Latin America & Caribbean
2003,N/A,Gabon,Sub-Saharan Africa
1994,Crossfire,Bosnia and Herzegovina,Europe & Central Asia
1995,Murder,Brazil,Latin America & Caribbean
2014,Murder,Brazil,Latin America & Caribbean
2016,Murder,Mexico,Latin America & Caribbean
1993,Murder,Peru,Latin America & Caribbean
2017,Dangerous Assignment,Colombia,Latin America & Caribbean
2000,N/A,Colombia,Latin America & Caribbean
2011,Murder,Mexico,Latin America & Caribbean
2010,N/A,Mexico,Latin America & Caribbean
2001,Murder,Afghanistan,South Asia
2004,Murder,Nicaragua,Latin America & Caribbean
2011,N/A,Philippines,East Asia & Pacific
1993,Dangerous Assignment,"Venezuela, RB",Latin America & Caribbean
2006,Murder,Philippines,East Asia & Pacific
2012,Murder,Syrian Arab Republic,Middle East & North Africa
2009,Murder,Philippines,East Asia & Pacific
1993,N/A,Argentina,Latin America & Caribbean
2001,N/A,Brazil,Latin America & Caribbean
2018,Murder,Mexico,Latin America & Caribbean
2002,N/A,Colombia,Latin America & Caribbean
2012,Murder,Brazil,Latin America & Caribbean
2007,N/A,Guatemala,Latin America & Caribbean
2013,Murder,Philippines,East Asia & Pacific
2013,N/A,Philippines,East Asia & Pacific
2000,N/A,Colombia,Latin America & Caribbean
2009,Murder,Philippines,East Asia & Pacific
2009,Murder,Philippines,East Asia & Pacific
2005,Murder,Philippines,East Asia & Pacific
2006,Murder,Somalia,Sub-Saharan Africa
1994,N/A,Colombia,Latin America & Caribbean
2004,Murder,Colombia,Latin America & Caribbean
2001,Murder,United Kingdom,Europe & Central Asia
2008,Murder,Philippines,East Asia & Pacific
2014,N/A,Syrian Arab Republic,Middle East & North Africa
2015,N/A,Bangladesh,South Asia
1999,N/A,Angola,Sub-Saharan Africa
2008,N/A,Mexico,Latin America & Caribbean
2019,N/A,Colombia,Latin America & Caribbean
2015,N/A,Philippines,East Asia & Pacific
2004,N/A,"Venezuela, RB",Latin America & Caribbean
1995,N/A,Russian Federation,Europe & Central Asia
2017,Murder,Mexico,Latin America & Caribbean
2020,N/A,Nigeria,Sub-Saharan Africa
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
2014,Crossfire,"Egypt, Arab Rep.",Middle East & North Africa
2004,Crossfire,Iraq,Middle East & North Africa
2003,Crossfire,Iraq,Middle East & North Africa
2010,N/A,Iraq,Middle East & North Africa
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
1992,N/A,Turkey,Europe & Central Asia
2007,Dangerous Assignment,Pakistan,South Asia
2012,N/A,Bangladesh,South Asia
2010,N/A,Pakistan,South Asia
2013,N/A,Pakistan,South Asia
2016,Dangerous Assignment,Pakistan,South Asia
1995,Murder,Algeria,Middle East & North Africa
2015,N/A,Philippines,East Asia & Pacific
2011,N/A,Paraguay,Latin America & Caribbean
2010,N/A,Turkey,Europe & Central Asia
1996,Murder,Turkey,Europe & Central Asia
2003,Crossfire,Iraq,Middle East & North Africa
1997,Murder,Cambodia,East Asia & Pacific
2014,Murder,South Africa,Sub-Saharan Africa
2009,Crossfire,Afghanistan,South Asia
2013,Dangerous Assignment,"Egypt, Arab Rep.",Middle East & North Africa
2011,N/A,Mexico,Latin America & Caribbean
2008,N/A,Mexico,Latin America & Caribbean
2010,N/A,Philippines,East Asia & Pacific
2000,Crossfire,Sierra Leone,Sub-Saharan Africa
2007,Murder,Peru,Latin America & Caribbean
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
2013,Murder,Russian Federation,Europe & Central Asia
2001,Murder,Yugoslavia,Europe & Central Asia
1993,N/A,Bosnia and Herzegovina,Europe & Central Asia
2006,N/A,Colombia,Latin America & Caribbean
2000,Murder,Bangladesh,South Asia
1994,Murder,Somalia,Sub-Saharan Africa
2017,Murder,Mexico,Latin America & Caribbean
1994,Murder,Afghanistan,South Asia
2013,Dangerous Assignment,Pakistan,South Asia
2011,N/A,Mexico,Latin America & Caribbean
2006,N/A,Mexico,Latin America & Caribbean
2010,Murder,Pakistan,South Asia
2003,N/A,Indonesia,East Asia & Pacific
2017,Crossfire,Syrian Arab Republic,Middle East & North Africa
2013,N/A,Syrian Arab Republic,Middle East & North Africa
1995,Murder,Algeria,Middle East & North Africa
2004,Crossfire,Israel,Middle East & North Africa
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2011,Dangerous Assignment,Iraq,Middle East & North Africa
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2009,Crossfire,Somalia,Sub-Saharan Africa
2019,Crossfire,Libya,Middle East & North Africa
1996,Murder,Algeria,Middle East & North Africa
1996,Murder,Algeria,Middle East & North Africa
2017,N/A,Somalia,Sub-Saharan Africa
2013,Murder,Somalia,Sub-Saharan Africa
2014,Murder,Somalia,Sub-Saharan Africa
1994,Murder,Algeria,Middle East & North Africa
1994,Murder,Algeria,Middle East & North Africa
1996,Murder,Algeria,Middle East & North Africa
2013,Murder,Somalia,Sub-Saharan Africa
2012,Murder,Somalia,Sub-Saharan Africa
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2019,Dangerous Assignment,Somalia,Sub-Saharan Africa
1994,Murder,Algeria,Middle East & North Africa
2015,Crossfire,"Yemen, Rep.",Middle East & North Africa
2014,Crossfire,Syrian Arab Republic,Middle East & North Africa
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2006,Murder,Iraq,Middle East & North Africa
2018,Crossfire,"Yemen, Rep.",Middle East & North Africa
2007,Murder,Iraq,Middle East & North Africa
2009,Dangerous Assignment,Pakistan,South Asia
2006,N/A,Pakistan,South Asia
2017,N/A,Syrian Arab Republic,Middle East & North Africa
2016,Murder,Afghanistan,South Asia
1996,Dangerous Assignment,Bangladesh,South Asia
2013,Murder,Syrian Arab Republic,Middle East & North Africa
2018,Crossfire,Afghanistan,South Asia
1994,Murder,Pakistan,South Asia
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
2001,N/A,Philippines,East Asia & Pacific
2016,N/A,Afghanistan,South Asia
2007,Crossfire,Somalia,Sub-Saharan Africa
2015,Crossfire,Syrian Arab Republic,Middle East & North Africa
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
2011,Crossfire,Libya,Middle East & North Africa
2014,Crossfire,Syrian Arab Republic,Middle East & North Africa
2016,Murder,Syrian Arab Republic,Middle East & North Africa
2016,Crossfire,"Yemen, Rep.",Middle East & North Africa
2013,Murder,Iraq,Middle East & North Africa
2005,Murder,Iraq,Middle East & North Africa
1994,Murder,Bosnia and Herzegovina,Europe & Central Asia
2019,Crossfire,Syrian Arab Republic,Middle East & North Africa
2008,Murder,Pakistan,South Asia
1999,Murder,Sierra Leone,Sub-Saharan Africa
2013,Murder,Iraq,Middle East & North Africa
2008,Murder,India,South Asia
1994,Murder,Pakistan,South Asia
2016,Crossfire,Syrian Arab Republic,Middle East & North Africa
2006,Murder,Sudan,Sub-Saharan Africa
2016,N/A,Iraq,Middle East & North Africa
2009,Crossfire,Somalia,Sub-Saharan Africa
2007,Murder,Iraq,Middle East & North Africa
2008,Murder,Iraq,Middle East & North Africa
2016,Crossfire,Syrian Arab Republic,Middle East & North Africa
1995,Murder,Tajikistan,Europe & Central Asia
2016,N/A,Mexico,Latin America & Caribbean
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2012,Dangerous Assignment,Syrian Arab Republic,Middle East & North Africa
2001,Murder,India,South Asia
2012,Murder,Syrian Arab Republic,Middle East & North Africa
2013,Dangerous Assignment,"Egypt, Arab Rep.",Middle East & North Africa
2014,Crossfire,Syrian Arab Republic,Middle East & North Africa
1994,Murder,Algeria,Middle East & North Africa
2004,Crossfire,Iraq,Middle East & North Africa
1995,Murder,Algeria,Middle East & North Africa
2015,Murder,France,Europe & Central Asia
2011,Dangerous Assignment,Iraq,Middle East & North Africa
2016,Crossfire,"Yemen, Rep.",Middle East & North Africa
2015,Murder,Libya,Middle East & North Africa
2014,Murder,Libya,Middle East & North Africa
2006,Murder,Iraq,Middle East & North Africa
2001,Crossfire,Israel,Middle East & North Africa
2010,Murder,"Yemen, Rep.",Middle East & North Africa
2007,Dangerous Assignment,Pakistan,South Asia
2019,N/A,Pakistan,South Asia
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2017,N/A,Pakistan,South Asia
1997,Murder,Indonesia,East Asia & Pacific
2016,N/A,Pakistan,South Asia
2018,N/A,Indonesia,East Asia & Pacific
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2007,Murder,Iraq,Middle East & North Africa
2006,Murder,Iraq,Middle East & North Africa
2012,Murder,Pakistan,South Asia
2009,Murder,Somalia,Sub-Saharan Africa
1992,Murder,Tajikistan,Europe & Central Asia
2011,N/A,Pakistan,South Asia
2006,Crossfire,Pakistan,South Asia
1999,Murder,Sierra Leone,Sub-Saharan Africa
2006,Murder,Iraq,Middle East & North Africa
1992,Dangerous Assignment,Tajikistan,Europe & Central Asia
2018,Murder,Libya,Middle East & North Africa
1992,Murder,Turkey,Europe & Central Asia
2009,Murder,Pakistan,South Asia
2015,Murder,South Sudan,Sub-Saharan Africa
2008,Murder,Iraq,Middle East & North Africa
1995,Murder,India,South Asia
2012,Dangerous Assignment,Pakistan,South Asia
2015,Dangerous Assignment,Somalia,Sub-Saharan Africa
1993,Murder,Algeria,Middle East & North Africa
2016,Murder,Syrian Arab Republic,Middle East & North Africa
2007,Murder,Iraq,Middle East & North Africa
1992,Murder,Lebanon,Middle East & North Africa
2016,Crossfire,Iraq,Middle East & North Africa
2018,Crossfire,Syrian Arab Republic,Middle East & North Africa
2014,Dangerous Assignment,Iraq,Middle East & North Africa
2014,Murder,India,South Asia
2002,N/A,Belarus,Europe & Central Asia
1999,Crossfire,Sierra Leone,Sub-Saharan Africa
2000,Murder,Sri Lanka,South Asia
1999,N/A,India,South Asia
2006,Murder,Iraq,Middle East & North Africa
1995,Murder,Algeria,Middle East & North Africa
1996,Murder,Russian Federation,Europe & Central Asia
2004,Murder,Iraq,Middle East & North Africa
2019,N/A,Afghanistan,South Asia
2001,Murder,Bangladesh,South Asia
2010,Murder,Honduras,Latin America & Caribbean
1995,Murder,Algeria,Middle East & North Africa
2016,Crossfire,Afghanistan,South Asia
1997,Murder,Indonesia,East Asia & Pacific
2005,Murder,Iraq,Middle East & North Africa
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
2015,Murder,Turkey,Europe & Central Asia
1992,Murder,Turkey,Europe & Central Asia
2007,Crossfire,Iraq,Middle East & North Africa
2012,N/A,Nigeria,Sub-Saharan Africa
2009,Murder,Philippines,East Asia & Pacific
2006,Murder,Iraq,Middle East & North Africa
2013,Murder,India,South Asia
2011,Murder,Pakistan,South Asia
1994,Murder,Algeria,Middle East & North Africa
2008,Murder,Somalia,Sub-Saharan Africa
1995,Crossfire,Russian Federation,Europe & Central Asia
2009,Murder,Russian Federation,Europe & Central Asia
2002,Murder,Russian Federation,Europe & Central Asia
1997,N/A,Brazil,Latin America & Caribbean
2010,Murder,Nigeria,Sub-Saharan Africa
2002,Murder,Nepal,South Asia
2017,N/A,India,South Asia
2018,Murder,India,South Asia
1999,N/A,Pakistan,South Asia
2013,Murder,Iraq,Middle East & North Africa
2007,Murder,Iraq,Middle East & North Africa
2003,Crossfire,Israel,Middle East & North Africa
1994,N/A,Turkey,Europe & Central Asia
2019,Murder,Haiti,Latin America & Caribbean
1998,Murder,Colombia,Latin America & Caribbean
1998,N/A,Philippines,East Asia & Pacific
2003,N/A,Philippines,East Asia & Pacific
2013,N/A,India,South Asia
2015,N/A,Philippines,East Asia & Pacific
2014,N/A,Honduras,Latin America & Caribbean
2011,N/A,Honduras,Latin America & Caribbean
2012,N/A,Philippines,East Asia & Pacific
1998,N/A,Colombia,Latin America & Caribbean
2019,Murder,Mexico,Latin America & Caribbean
2003,Murder,Brazil,Latin America & Caribbean
2001,N/A,France,Europe & Central Asia
2016,N/A,El Salvador,Latin America & Caribbean
2011,N/A,Philippines,East Asia & Pacific
2017,Murder,Russian Federation,Europe & Central Asia
2014,N/A,Philippines,East Asia & Pacific
2015,Murder,Bangladesh,South Asia
2014,Dangerous Assignment,Afghanistan,South Asia
1996,Murder,Russian Federation,Europe & Central Asia
2016,N/A,Syrian Arab Republic,Middle East & North Africa
2020,N/A,Iraq,Middle East & North Africa
2009,Murder,Philippines,East Asia & Pacific
2011,Murder,Mexico,Latin America & Caribbean
2003,Murder,Philippines,East Asia & Pacific
2014,N/A,Afghanistan,South Asia
2007,Dangerous Assignment,Pakistan,South Asia
2011,Dangerous Assignment,Somalia,Sub-Saharan Africa
1998,Murder,Burkina Faso,Sub-Saharan Africa
2009,Murder,Mexico,Latin America & Caribbean
2019,Murder,Mexico,Latin America & Caribbean
2008,N/A,Dominican Republic,Latin America & Caribbean
1996,Murder,Colombia,Latin America & Caribbean
2006,Murder,Iraq,Middle East & North Africa
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2015,Crossfire,Syrian Arab Republic,Middle East & North Africa
2009,Dangerous Assignment,Azerbaijan,Europe & Central Asia
2018,Murder,Afghanistan,South Asia
1994,Murder,Cambodia,East Asia & Pacific
2009,Crossfire,Somalia,Sub-Saharan Africa
2014,N/A,Bangladesh,South Asia
2015,Crossfire,Syrian Arab Republic,Middle East & North Africa
1994,Murder,Rwanda,Sub-Saharan Africa
2019,Crossfire,Chad,Sub-Saharan Africa
2018,Crossfire,Syrian Arab Republic,Middle East & North Africa
2014,Murder,Mexico,Latin America & Caribbean
2006,Murder,Turkmenistan,Europe & Central Asia
1998,Murder,Nigeria,Sub-Saharan Africa
1996,N/A,Russian Federation,Europe & Central Asia
2001,N/A,Ukraine,Europe & Central Asia
1994,N/A,Tajikistan,Europe & Central Asia
1992,Dangerous Assignment,Tajikistan,Europe & Central Asia
1993,Murder,Tajikistan,Europe & Central Asia
2000,Murder,Philippines,East Asia & Pacific
1994,Murder,Algeria,Middle East & North Africa
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2014,Crossfire,Syrian Arab Republic,Middle East & North Africa
2018,Crossfire,"Yemen, Rep.",Middle East & North Africa
2019,N/A,Mexico,Latin America & Caribbean
1995,Murder,Algeria,Middle East & North Africa
2010,Crossfire,Iraq,Middle East & North Africa
2009,Dangerous Assignment,"Iran, Islamic Rep.",Middle East & North Africa
2009,Murder,"Venezuela, RB",Latin America & Caribbean
2009,Crossfire,Iraq,Middle East & North Africa
2015,N/A,Brazil,Latin America & Caribbean
2018,Dangerous Assignment,Central African Republic,Sub-Saharan Africa
2002,Murder,Colombia,Latin America & Caribbean
2006,N/A,Philippines,East Asia & Pacific
2017,N/A,Syrian Arab Republic,Middle East & North Africa
2016,Crossfire,Syrian Arab Republic,Middle East & North Africa
2017,Crossfire,Syrian Arab Republic,Middle East & North Africa
2006,N/A,Iraq,Middle East & North Africa
2004,N/A,Colombia,Latin America & Caribbean
1998,Murder,Colombia,Latin America & Caribbean
2002,N/A,Colombia,Latin America & Caribbean
2003,N/A,Colombia,Latin America & Caribbean
2007,Murder,Iraq,Middle East & North Africa
1997,N/A,Cambodia,East Asia & Pacific
1997,Dangerous Assignment,India,South Asia
1999,Crossfire,Colombia,Latin America & Caribbean
2001,N/A,Colombia,Latin America & Caribbean
2014,Murder,Paraguay,Latin America & Caribbean
2000,N/A,Mexico,Latin America & Caribbean
2014,N/A,Afghanistan,South Asia
1995,N/A,Burundi,Sub-Saharan Africa
2019,N/A,"Congo, Dem. Rep.",Sub-Saharan Africa
1996,Murder,India,South Asia
2008,Murder,Sri Lanka,South Asia
2002,N/A,India,South Asia
2003,N/A,India,South Asia
2001,Murder,Costa Rica,Latin America & Caribbean
2003,Murder,India,South Asia
2010,N/A,"Congo, Dem. Rep.",Sub-Saharan Africa
2007,N/A,"Congo, Dem. Rep.",Sub-Saharan Africa
2008,N/A,Nigeria,Sub-Saharan Africa
2006,Crossfire,Iraq,Middle East & North Africa
1992,Crossfire,Croatia,Europe & Central Asia
2010,Murder,Uganda,Sub-Saharan Africa
2004,Murder,Russian Federation,Europe & Central Asia
1999,Murder,Sierra Leone,Sub-Saharan Africa
2003,Crossfire,Iraq,Middle East & North Africa
2018,Murder,Colombia,Latin America & Caribbean
2015,N/A,Mozambique,Sub-Saharan Africa
2012,N/A,Brazil,Latin America & Caribbean
2007,N/A,Eritrea,Sub-Saharan Africa
