year,typeOfDeath,country,region
2005,Murder,Russian Federation,Europe & Central Asia
2016,Murder,Ukraine,Europe & Central Asia
2011,Murder,Peru,Latin America & Caribbean
2014,Murder,Brazil,Latin America & Caribbean
2016,N/A,Mexico,Latin America & Caribbean
1992,Murder,Peru,Latin America & Caribbean
1992,Murder,Papua New Guinea,East Asia & Pacific
2010,Dangerous Assignment,Pakistan,South Asia
2015,N/A,South Sudan,Sub-Saharan Africa
2019,N/A,Haiti,Latin America & Caribbean
1997,N/A,Ukraine,Europe & Central Asia
2011,Dangerous Assignment,Thailand,East Asia & Pacific
2005,Murder,Philippines,East Asia & Pacific
1998,Murder,Mexico,Latin America & Caribbean
2015,Murder,France,Europe & Central Asia
1994,Murder,Somalia,Sub-Saharan Africa
2001,Crossfire,Afghanistan,South Asia
2008,N/A,"Venezuela, RB",Latin America & Caribbean
1994,Murder,"Congo, Dem. Rep.",Sub-Saharan Africa
1993,Murder,Tajikistan,Europe & Central Asia
2006,N/A,Philippines,East Asia & Pacific
2005,N/A,Thailand,East Asia & Pacific
2015,N/A,South Sudan,Sub-Saharan Africa
2000,Dangerous Assignment,India,South Asia
2006,Murder,India,South Asia
2007,Murder,Nepal,South Asia
2019,Dangerous Assignment,Nigeria,Sub-Saharan Africa
2009,Dangerous Assignment,Sri Lanka,South Asia
2017,Crossfire,Syrian Arab Republic,Middle East & North Africa
2008,N/A,Iraq,Middle East & North Africa
2007,Murder,Iraq,Middle East & North Africa
2013,Murder,Iraq,Middle East & North Africa
1993,Murder,Algeria,Middle East & North Africa
1995,Murder,Algeria,Middle East & North Africa
1994,N/A,Serbia,Europe & Central Asia
2014,N/A,Iraq,Middle East & North Africa
2018,Murder,Syrian Arab Republic,Middle East & North Africa
2006,N/A,Iraq,Middle East & North Africa
2005,Murder,Iraq,Middle East & North Africa
2005,Murder,Colombia,Latin America & Caribbean
2009,N/A,Honduras,Latin America & Caribbean
2019,Murder,Mexico,Latin America & Caribbean
2005,Murder,Iraq,Middle East & North Africa
2002,Crossfire,Israel,Middle East & North Africa
2011,Murder,Azerbaijan,Europe & Central Asia
2009,N/A,Pakistan,South Asia
2016,Murder,India,South Asia
2012,Murder,India,South Asia
2017,Murder,India,South Asia
2013,Dangerous Assignment,India,South Asia
2013,Murder,India,South Asia
2002,Murder,India,South Asia
1992,Dangerous Assignment,India,South Asia
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
2014,Crossfire,Syrian Arab Republic,Middle East & North Africa
2014,Crossfire,Israel,Middle East & North Africa
2018,Dangerous Assignment,Afghanistan,South Asia
1996,Murder,Russian Federation,Europe & Central Asia
1999,Crossfire,Russian Federation,Europe & Central Asia
2015,Murder,South Sudan,Sub-Saharan Africa
1993,N/A,Bosnia and Herzegovina,Europe & Central Asia
2004,Crossfire,Iraq,Middle East & North Africa
2008,Dangerous Assignment,Sri Lanka,South Asia
2015,N/A,Azerbaijan,Europe & Central Asia
2005,N/A,Mexico,Latin America & Caribbean
2012,Murder,Pakistan,South Asia
2012,Murder,Mexico,Latin America & Caribbean
2012,Murder,Pakistan,South Asia
1995,Murder,Brazil,Latin America & Caribbean
2005,Murder,Sri Lanka,South Asia
2012,Murder,Syrian Arab Republic,Middle East & North Africa
1998,Murder,Philippines,East Asia & Pacific
2009,Murder,Philippines,East Asia & Pacific
2009,Murder,Philippines,East Asia & Pacific
2014,N/A,Honduras,Latin America & Caribbean
2010,Murder,Iraq,Middle East & North Africa
2005,N/A,Philippines,East Asia & Pacific
1995,Murder,Angola,Sub-Saharan Africa
1999,Murder,Argentina,Latin America & Caribbean
2017,N/A,Mexico,Latin America & Caribbean
2004,Dangerous Assignment,Haiti,Latin America & Caribbean
2013,N/A,Philippines,East Asia & Pacific
2014,N/A,Philippines,East Asia & Pacific
2003,Murder,Iraq,Middle East & North Africa
2003,Murder,Philippines,East Asia & Pacific
2010,Murder,Indonesia,East Asia & Pacific
1994,N/A,Bosnia and Herzegovina,Europe & Central Asia
2006,Murder,Iraq,Middle East & North Africa
2018,Murder,United States,North America
2005,Dangerous Assignment,Haiti,Latin America & Caribbean
2014,N/A,"Congo, Dem. Rep.",Sub-Saharan Africa
2005,N/A,Philippines,East Asia & Pacific
2001,Murder,United States,North America
2004,N/A,Mexico,Latin America & Caribbean
2006,Murder,Mexico,Latin America & Caribbean
2000,Dangerous Assignment,Guatemala,Latin America & Caribbean
1992,N/A,Haiti,Latin America & Caribbean
2019,N/A,Brazil,Latin America & Caribbean
2002,Crossfire,Russian Federation,Europe & Central Asia
1999,Murder,Colombia,Latin America & Caribbean
2010,N/A,Colombia,Latin America & Caribbean
2007,Murder,Mexico,Latin America & Caribbean
2013,Murder,Brazil,Latin America & Caribbean
2004,Murder,Philippines,East Asia & Pacific
2019,N/A,Mexico,Latin America & Caribbean
2013,N/A,Philippines,East Asia & Pacific
1999,N/A,Sri Lanka,South Asia
2016,N/A,Turkey,Europe & Central Asia
2001,Murder,Philippines,East Asia & Pacific
2005,Murder,Philippines,East Asia & Pacific
2009,N/A,Guatemala,Latin America & Caribbean
2006,N/A,Philippines,East Asia & Pacific
2019,N/A,Brazil,Latin America & Caribbean
2004,Murder,Philippines,East Asia & Pacific
2009,Murder,Philippines,East Asia & Pacific
1993,Murder,Philippines,East Asia & Pacific
2011,Murder,Philippines,East Asia & Pacific
2009,Murder,Philippines,East Asia & Pacific
1993,Dangerous Assignment,Russian Federation,Europe & Central Asia
1993,N/A,Philippines,East Asia & Pacific
2009,Murder,Philippines,East Asia & Pacific
2004,Murder,Philippines,East Asia & Pacific
2011,N/A,Philippines,East Asia & Pacific
2009,Murder,Philippines,East Asia & Pacific
2015,Murder,Mexico,Latin America & Caribbean
2018,N/A,Mexico,Latin America & Caribbean
2014,Murder,Philippines,East Asia & Pacific
2010,Crossfire,Afghanistan,South Asia
1995,Murder,Mexico,Latin America & Caribbean
1997,Dangerous Assignment,India,South Asia
1997,Dangerous Assignment,India,South Asia
1996,N/A,Bangladesh,South Asia
2019,Crossfire,Syrian Arab Republic,Middle East & North Africa
1993,Murder,Algeria,Middle East & North Africa
2011,Dangerous Assignment,Iraq,Middle East & North Africa
2018,Murder,Afghanistan,South Asia
2014,Murder,Bangladesh,South Asia
2006,Murder,Iraq,Middle East & North Africa
2010,Murder,Iraq,Middle East & North Africa
2006,Murder,Iraq,Middle East & North Africa
2020,Dangerous Assignment,Iraq,Middle East & North Africa
2004,Crossfire,Iraq,Middle East & North Africa
2016,Murder,Somalia,Sub-Saharan Africa
2007,N/A,Sri Lanka,South Asia
2007,Murder,Iraq,Middle East & North Africa
2004,N/A,Iraq,Middle East & North Africa
2013,Murder,India,South Asia
1995,Murder,Algeria,Middle East & North Africa
1994,Murder,Algeria,Middle East & North Africa
2009,Murder,Somalia,Sub-Saharan Africa
1995,Murder,Algeria,Middle East & North Africa
1995,Murder,Algeria,Middle East & North Africa
1997,Murder,India,South Asia
1993,N/A,Tajikistan,Europe & Central Asia
1993,Murder,Tajikistan,Europe & Central Asia
2007,N/A,Iraq,Middle East & North Africa
2007,Murder,Iraq,Middle East & North Africa
2016,Murder,Iraq,Middle East & North Africa
2013,Dangerous Assignment,Pakistan,South Asia
1998,Murder,Bangladesh,South Asia
2004,Murder,Pakistan,South Asia
2013,Dangerous Assignment,"Egypt, Arab Rep.",Middle East & North Africa
2011,Murder,Pakistan,South Asia
2018,Murder,Afghanistan,South Asia
2013,Dangerous Assignment,Libya,Middle East & North Africa
2005,Crossfire,Iraq,Middle East & North Africa
2014,Crossfire,Syrian Arab Republic,Middle East & North Africa
2007,Murder,Iraq,Middle East & North Africa
1992,Crossfire,Bosnia and Herzegovina,Europe & Central Asia
2017,Murder,Mexico,Latin America & Caribbean
2001,Murder,Paraguay,Latin America & Caribbean
2007,N/A,El Salvador,Latin America & Caribbean
1999,Dangerous Assignment,Nigeria,Sub-Saharan Africa
2005,Murder,Iraq,Middle East & North Africa
2014,Crossfire,Israel,Middle East & North Africa
2016,Murder,Syrian Arab Republic,Middle East & North Africa
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
2016,Murder,Syrian Arab Republic,Middle East & North Africa
2012,N/A,Afghanistan,South Asia
2018,Dangerous Assignment,Afghanistan,South Asia
2012,N/A,Iraq,Middle East & North Africa
2005,Murder,Lebanon,Middle East & North Africa
2006,N/A,Sri Lanka,South Asia
1999,Crossfire,Nigeria,Sub-Saharan Africa
2000,N/A,Kenya,Sub-Saharan Africa
2014,N/A,Philippines,East Asia & Pacific
2004,Murder,Brazil,Latin America & Caribbean
2015,N/A,India,South Asia
2018,Murder,India,South Asia
1999,Murder,Timor-Leste,East Asia & Pacific
2005,N/A,Thailand,East Asia & Pacific
2019,N/A,Mexico,Latin America & Caribbean
2014,Dangerous Assignment,Brazil,Latin America & Caribbean
2009,Murder,Philippines,East Asia & Pacific
2000,Dangerous Assignment,Sierra Leone,Sub-Saharan Africa
2012,Dangerous Assignment,Pakistan,South Asia
2010,Murder,Iraq,Middle East & North Africa
2007,Murder,Iraq,Middle East & North Africa
2008,Murder,Iraq,Middle East & North Africa
1995,N/A,Bosnia and Herzegovina,Europe & Central Asia
2003,Murder,Japan,East Asia & Pacific
2012,Dangerous Assignment,"Iran, Islamic Rep.",Middle East & North Africa
1998,N/A,Colombia,Latin America & Caribbean
2007,N/A,Mexico,Latin America & Caribbean
2010,N/A,Afghanistan,South Asia
2017,Dangerous Assignment,Afghanistan,South Asia
2017,Dangerous Assignment,Afghanistan,South Asia
1995,Murder,Turkey,Europe & Central Asia
1998,Murder,Thailand,East Asia & Pacific
2007,Murder,Sri Lanka,South Asia
2004,Crossfire,Iraq,Middle East & North Africa
2007,Murder,"Congo, Dem. Rep.",Sub-Saharan Africa
1994,N/A,Russian Federation,Europe & Central Asia
1996,N/A,Uzbekistan,Europe & Central Asia
2002,N/A,Russian Federation,Europe & Central Asia
1993,Dangerous Assignment,Russian Federation,Europe & Central Asia
2000,N/A,Russian Federation,Europe & Central Asia
2000,N/A,Russian Federation,Europe & Central Asia
2015,Crossfire,Ukraine,Europe & Central Asia
2001,N/A,Thailand,East Asia & Pacific
2009,N/A,Russian Federation,Europe & Central Asia
2011,Dangerous Assignment,Pakistan,South Asia
2014,N/A,Bangladesh,South Asia
2018,Murder,Afghanistan,South Asia
2002,Murder,Pakistan,South Asia
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2000,N/A,Nepal,South Asia
1999,Crossfire,Russian Federation,Europe & Central Asia
1995,Crossfire,Russian Federation,Europe & Central Asia
2000,Murder,Bangladesh,South Asia
2014,Murder,Pakistan,South Asia
2007,N/A,Nepal,South Asia
2017,Dangerous Assignment,India,South Asia
1999,Crossfire,Yugoslavia,Europe & Central Asia
1993,N/A,Tajikistan,Europe & Central Asia
1993,N/A,Tajikistan,Europe & Central Asia
2000,N/A,Yugoslavia,Europe & Central Asia
2007,Murder,Iraq,Middle East & North Africa
2016,Dangerous Assignment,Pakistan,South Asia
2005,Murder,Bangladesh,South Asia
2010,Murder,Somalia,Sub-Saharan Africa
2017,Crossfire,Iraq,Middle East & North Africa
2008,Murder,Iraq,Middle East & North Africa
2004,Crossfire,Iraq,Middle East & North Africa
1992,Dangerous Assignment,Tajikistan,Europe & Central Asia
1999,N/A,India,South Asia
2009,Crossfire,Sri Lanka,South Asia
2018,Murder,India,South Asia
2012,N/A,Syrian Arab Republic,Middle East & North Africa
2016,N/A,Iraq,Middle East & North Africa
2002,Murder,Bangladesh,South Asia
2009,N/A,Pakistan,South Asia
1998,Murder,Angola,Sub-Saharan Africa
2004,Murder,Saudi Arabia,Middle East & North Africa
2014,Crossfire,Israel,Middle East & North Africa
2006,N/A,Sri Lanka,South Asia
2008,Dangerous Assignment,Pakistan,South Asia
1999,Murder,Yugoslavia,Europe & Central Asia
1994,Murder,Algeria,Middle East & North Africa
1993,Murder,Algeria,Middle East & North Africa
2006,Murder,Iraq,Middle East & North Africa
2016,Murder,Myanmar,East Asia & Pacific
2018,Murder,Pakistan,South Asia
2010,Murder,Greece,Europe & Central Asia
2015,Murder,"Congo, Dem. Rep.",Sub-Saharan Africa
2019,N/A,Peru,Latin America & Caribbean
2002,Murder,Philippines,East Asia & Pacific
2008,Murder,Iraq,Middle East & North Africa
2008,Crossfire,Georgia,Europe & Central Asia
2010,Dangerous Assignment,Angola,Sub-Saharan Africa
2017,Crossfire,Iraq,Middle East & North Africa
2015,Murder,France,Europe & Central Asia
2004,N/A,Philippines,East Asia & Pacific
2014,Murder,Syrian Arab Republic,Middle East & North Africa
2005,Murder,Iraq,Middle East & North Africa
2007,Murder,Sri Lanka,South Asia
2006,Murder,Sri Lanka,South Asia
2001,N/A,Thailand,East Asia & Pacific
2017,Crossfire,Iraq,Middle East & North Africa
2017,Murder,India,South Asia
2000,Murder,Pakistan,South Asia
2009,Crossfire,Iraq,Middle East & North Africa
2017,Dangerous Assignment,Iraq,Middle East & North Africa
2013,Murder,Syrian Arab Republic,Middle East & North Africa
2007,Murder,Israel,Middle East & North Africa
2019,N/A,Afghanistan,South Asia
2009,Dangerous Assignment,Afghanistan,South Asia
2010,N/A,China,East Asia & Pacific
2010,Murder,Nigeria,Sub-Saharan Africa
2014,N/A,Cambodia,East Asia & Pacific
1999,Crossfire,Russian Federation,Europe & Central Asia
2003,N/A,Thailand,East Asia & Pacific
2007,Crossfire,Sri Lanka,South Asia
2010,N/A,India,South Asia
2002,N/A,Bangladesh,South Asia
2011,Murder,C么te d'Ivoire,Sub-Saharan Africa
2007,Crossfire,Sri Lanka,South Asia
1993,Murder,Tajikistan,Europe & Central Asia
2011,N/A,Iraq,Middle East & North Africa
2016,Crossfire,Syrian Arab Republic,Middle East & North Africa
1993,Murder,Algeria,Middle East & North Africa
2009,Dangerous Assignment,Pakistan,South Asia
2010,Murder,Iraq,Middle East & North Africa
2017,Dangerous Assignment,Pakistan,South Asia
2014,N/A,Cambodia,East Asia & Pacific
2017,Crossfire,"Yemen, Rep.",Middle East & North Africa
2013,Dangerous Assignment,"Egypt, Arab Rep.",Middle East & North Africa
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
1998,Murder,Canada,North America
2003,Crossfire,Iraq,Middle East & North Africa
2003,Crossfire,Iraq,Middle East & North Africa
1995,N/A,United Kingdom,Europe & Central Asia
2014,Murder,India,South Asia
1993,Dangerous Assignment,Bosnia and Herzegovina,Europe & Central Asia
1992,Murder,Tajikistan,Europe & Central Asia
1994,Murder,Algeria,Middle East & North Africa
2019,N/A,Mexico,Latin America & Caribbean
2008,Murder,Russian Federation,Europe & Central Asia
2015,N/A,Philippines,East Asia & Pacific
2008,N/A,Mexico,Latin America & Caribbean
2003,Crossfire,Iraq,Middle East & North Africa
1998,N/A,Ethiopia,Sub-Saharan Africa
2007,Murder,Iraq,Middle East & North Africa
2015,Crossfire,Syrian Arab Republic,Middle East & North Africa
2015,Murder,Iraq,Middle East & North Africa
2006,Murder,Iraq,Middle East & North Africa
2019,N/A,South Africa,Sub-Saharan Africa
1994,Murder,Rwanda,Sub-Saharan Africa
1994,N/A,Rwanda,Sub-Saharan Africa
2000,N/A,India,South Asia
1996,Murder,Cambodia,East Asia & Pacific
1992,Crossfire,Bosnia and Herzegovina,Europe & Central Asia
2011,Crossfire,Libya,Middle East & North Africa
2002,Murder,Brazil,Latin America & Caribbean
2002,N/A,Armenia,Europe & Central Asia
2007,Murder,Paraguay,Latin America & Caribbean
1997,N/A,Peru,Latin America & Caribbean
1993,N/A,Tajikistan,Europe & Central Asia
1994,Murder,Cambodia,East Asia & Pacific
2008,N/A,Kenya,Sub-Saharan Africa
2017,N/A,Iraq,Middle East & North Africa
1998,Murder,Nigeria,Sub-Saharan Africa
1992,Murder,Tajikistan,Europe & Central Asia
2014,Crossfire,Syrian Arab Republic,Middle East & North Africa
1999,Dangerous Assignment,Myanmar,East Asia & Pacific
1999,Dangerous Assignment,Myanmar,East Asia & Pacific
2018,N/A,Brazil,Latin America & Caribbean
1993,Murder,Turkey,Europe & Central Asia
2001,Murder,Afghanistan,South Asia
2009,Murder,Nepal,South Asia
2011,Murder,India,South Asia
2000,N/A,India,South Asia
1995,Murder,Russian Federation,Europe & Central Asia
1999,N/A,Russian Federation,Europe & Central Asia
2019,Murder,Ukraine,Europe & Central Asia
2006,Murder,Russian Federation,Europe & Central Asia
2011,N/A,Brazil,Latin America & Caribbean
2010,Murder,Mexico,Latin America & Caribbean
1999,N/A,Russian Federation,Europe & Central Asia
2012,Murder,Brazil,Latin America & Caribbean
2011,N/A,Brazil,Latin America & Caribbean
2002,Murder,Russian Federation,Europe & Central Asia
1997,N/A,Russian Federation,Europe & Central Asia
2005,N/A,Belarus,Europe & Central Asia
1999,N/A,Sri Lanka,South Asia
2019,Crossfire,Syrian Arab Republic,Middle East & North Africa
2004,Murder,India,South Asia
1994,Murder,Rwanda,Sub-Saharan Africa
2013,N/A,Philippines,East Asia & Pacific
1996,Murder,Ireland,Europe & Central Asia
2004,N/A,Belarus,Europe & Central Asia
2017,Crossfire,Iraq,Middle East & North Africa
1995,Murder,Russian Federation,Europe & Central Asia
1997,Murder,Mexico,Latin America & Caribbean
1994,Murder,Guatemala,Latin America & Caribbean
2012,N/A,Mexico,Latin America & Caribbean
2009,Murder,Philippines,East Asia & Pacific
1994,N/A,Madagascar,Sub-Saharan Africa
2017,N/A,Honduras,Latin America & Caribbean
2010,Dangerous Assignment,India,South Asia
2008,Murder,India,South Asia
1995,N/A,Ukraine,Europe & Central Asia
1996,Murder,Russian Federation,Europe & Central Asia
1996,Murder,Tajikistan,Europe & Central Asia
1996,Crossfire,Russian Federation,Europe & Central Asia
2018,N/A,Bulgaria,Europe & Central Asia
1995,Murder,Burundi,Sub-Saharan Africa
2000,Dangerous Assignment,Philippines,East Asia & Pacific
1994,Murder,Rwanda,Sub-Saharan Africa
1994,N/A,Rwanda,Sub-Saharan Africa
1992,Dangerous Assignment,"Venezuela, RB",Latin America & Caribbean
1993,Murder,Lithuania,Europe & Central Asia
1993,Dangerous Assignment,Russian Federation,Europe & Central Asia
1995,Murder,Ukraine,Europe & Central Asia
2000,Murder,Russian Federation,Europe & Central Asia
1995,Crossfire,Russian Federation,Europe & Central Asia
1995,Murder,Russian Federation,Europe & Central Asia
2001,Crossfire,Afghanistan,South Asia
1999,Crossfire,Yugoslavia,Europe & Central Asia
2007,N/A,Russian Federation,Europe & Central Asia
2014,Murder,Ukraine,Europe & Central Asia
2009,N/A,Russian Federation,Europe & Central Asia
2004,Murder,Iraq,Middle East & North Africa
2013,Dangerous Assignment,Iraq,Middle East & North Africa
2017,Crossfire,"Yemen, Rep.",Middle East & North Africa
2011,Dangerous Assignment,"Egypt, Arab Rep.",Middle East & North Africa
2017,N/A,Myanmar,East Asia & Pacific
2004,Crossfire,Iraq,Middle East & North Africa
2005,Crossfire,Iraq,Middle East & North Africa
2013,Murder,Brazil,Latin America & Caribbean
2011,Murder,Pakistan,South Asia
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2015,Crossfire,Syrian Arab Republic,Middle East & North Africa
2015,Murder,Bangladesh,South Asia
2009,N/A,Pakistan,South Asia
2013,Murder,Iraq,Middle East & North Africa
2018,Murder,United States,North America
2016,N/A,Iraq,Middle East & North Africa
2011,N/A,"Venezuela, RB",Latin America & Caribbean
2001,Dangerous Assignment,United States,North America
2002,N/A,Colombia,Latin America & Caribbean
1998,Murder,Rwanda,Sub-Saharan Africa
1994,Murder,Rwanda,Sub-Saharan Africa
2008,Crossfire,Iraq,Middle East & North Africa
2012,Murder,Thailand,East Asia & Pacific
2001,Murder,Thailand,East Asia & Pacific
2011,N/A,"Congo, Dem. Rep.",Sub-Saharan Africa
2006,Murder,China,East Asia & Pacific
1999,Crossfire,Yugoslavia,Europe & Central Asia
2012,N/A,Nepal,South Asia
1994,Murder,Algeria,Middle East & North Africa
2015,Murder,Iraq,Middle East & North Africa
1992,Murder,Turkey,Europe & Central Asia
2002,N/A,India,South Asia
2017,Murder,Maldives,South Asia
2016,N/A,Afghanistan,South Asia
2018,Murder,Afghanistan,South Asia
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
1992,N/A,Turkey,Europe & Central Asia
2018,Dangerous Assignment,Israel,Middle East & North Africa
2006,N/A,Iraq,Middle East & North Africa
1995,Murder,Algeria,Middle East & North Africa
1994,Murder,Algeria,Middle East & North Africa
2013,Murder,Syrian Arab Republic,Middle East & North Africa
2011,N/A,Guatemala,Latin America & Caribbean
2006,N/A,Russian Federation,Europe & Central Asia
2011,N/A,Mexico,Latin America & Caribbean
1992,Murder,Algeria,Middle East & North Africa
2014,Crossfire,Syrian Arab Republic,Middle East & North Africa
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2015,Crossfire,"Yemen, Rep.",Middle East & North Africa
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2000,N/A,Ukraine,Europe & Central Asia
2003,Murder,Russian Federation,Europe & Central Asia
1994,Murder,Russian Federation,Europe & Central Asia
2007,Crossfire,Iraq,Middle East & North Africa
2014,Murder,Somalia,Sub-Saharan Africa
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
1993,Dangerous Assignment,Russian Federation,Europe & Central Asia
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
1997,Dangerous Assignment,Pakistan,South Asia
2016,Crossfire,Afghanistan,South Asia
2018,N/A,United States,North America
2016,Murder,Turkey,Europe & Central Asia
2014,Crossfire,Syrian Arab Republic,Middle East & North Africa
2003,Murder,"Iran, Islamic Rep.",Middle East & North Africa
2015,Crossfire,Syrian Arab Republic,Middle East & North Africa
2011,Murder,Nigeria,Sub-Saharan Africa
2011,Dangerous Assignment,Bahrain,Middle East & North Africa
2012,N/A,Somalia,Sub-Saharan Africa
2018,N/A,"Yemen, Rep.",Middle East & North Africa
2007,Murder,Afghanistan,South Asia
2011,N/A,Pakistan,South Asia
2015,Murder,Pakistan,South Asia
1995,Murder,Brazil,Latin America & Caribbean
2018,N/A,Pakistan,South Asia
1993,N/A,Bosnia and Herzegovina,Europe & Central Asia
2020,N/A,Liberia,Sub-Saharan Africa
2000,Murder,Brazil,Latin America & Caribbean
1999,Crossfire,Yugoslavia,Europe & Central Asia
2019,N/A,"Yemen, Rep.",Middle East & North Africa
1993,N/A,Tajikistan,Europe & Central Asia
1995,Murder,Algeria,Middle East & North Africa
1993,N/A,Bosnia and Herzegovina,Europe & Central Asia
2007,Murder,Pakistan,South Asia
2014,Dangerous Assignment,Afghanistan,South Asia
1993,Murder,Tajikistan,Europe & Central Asia
